Sponsor Name,Site Name,Site Street Address,Site City,Site State,Site Zip,Site Contact,Site Phone,Meal Types,Start Date,End Date,Site Program,Site Type
HEAVEN'S WINDOWS,AL RAHMA LEARNING CENTER,7520 EL CAJON BLVD.,LA MESA,CA,91942,LAILA GUMA,619-655-1823,AM,6/26/2016,6/26/2016,SFSP,OPEN
HEAVEN'S WINDOWS,BLESSED SACRAMENT PARISH SCHOOL,4551 56TH STREET,SAN DIEGO,CA,92115,ANNE EGAN,619-582-3862,L,7/13/2016,7/13/2016,SFSP,OPEN
HEAVEN'S WINDOWS,CAMPO EDUCATIONAL CENTER,36190 CHURCH ROAD,CAMPO,CA,91906,DEBORA CUERO,619-478-9093,"L, PM",6/23/2016,9/9/2016,SFSP,OPEN
HEAVEN'S WINDOWS,CASA DE ORO LIBRARY,9805 CAMPO ROAD #180,SPRING VALLEY,CA,91977,ALISON O'BRIEN,619-463-8277,L,6/20/2016,8/14/2016,SFSP,OPEN
HEAVEN'S WINDOWS,CHULA VISTA PRESBYTERIAN PRESCHOOL,940 HILLTOP DRIVE,CHULA VISTA,CA,91911,ALEXIS INGRAM,619-492-2292,"L, AM",6/20/2016,7/23/2016,SFSP,CLOSED
HEAVEN'S WINDOWS,CITY HEIGHTS COMMUNITY DEVELOPMENT CORP.,4071 39TH STREET,SAN DIEGO,CA,92105,LETICIA LEAL,619-961-1062,"L, AM",7/25/2016,9/8/2016,SFSP,CLOSED
HEAVEN'S WINDOWS,EAST COUNTY COMMUNITY CENTER SPRING VALLEY,3845 SPRING DRIVE,SPRING VALLEY,CA,91977,FREDDY HORTON,619-463-0725,L,6/20/2016,8/14/2016,SFSP,OPEN
HEAVEN'S WINDOWS,GRACIA Y PAZ,960 5TH AVENUE,CHULA VISTA,CA,91911,PENNY BRACE,619-733-7776,L,6/23/2016,6/23/2016,SFSP,OPEN
HEAVEN'S WINDOWS,HUDO COMMUNITY CENTER,4175 BONILLO DRIVE,SAN DIEGO,CA,92115,HUDO AHMED,619-243-6894,"AM, PM",6/22/2016,9/8/2016,SFSP,OPEN
HEAVEN'S WINDOWS,IQRA LEARNING CENTER,5702 EL CAJON BLVD.,SAN DIEGO,CA,92115,LIBAN ISHMAEL,619-793-8716,AM,6/22/2016,9/8/2016,SFSP,OPEN
HEAVEN'S WINDOWS,METRO AREA ADVISORY COMMITTEE (DIFFERENCT FROM HONEY BEE),9119 JAMACHA ROAD,SPRING VALLEY,CA,91977,ANGELA KRETSCHMAR,619-303-7806,L,6/20/2016,8/14/2016,SFSP,OPEN
HEAVEN'S WINDOWS,MT. ERIE BAPTIST CHURCH,511 SO. 47TH STREET,SAN DIEGO,CA,92113,JAMES ROWELL,619-262-0708,B,6/22/2016,9/8/2016,SFSP,OPEN
HEAVEN'S WINDOWS,NEW SEASONS CHURCH,2300 BANCROFT DRIVE,SPRING VALLEY,CA,91977,LYNDA DUKES,619-463-0725,"L, AM",6/20/2016,8/14/2016,SFSP,OPEN
HEAVEN'S WINDOWS,NEW SEASONS EL CAJON,990 NARANCA AVENUE,EL CAJON,CA,92020,LAILA HANNA,619-635-5301,L,6/27/2016,6/27/2016,SFSP,OPEN
HEAVEN'S WINDOWS,NEW VISION CHRISTIAN FELLOWSHIP,4353 PARK BLVD.,SAN DIEGO,CA,92103,DAVID POWELL,619-200-3686,L,7/1/2016,9/8/2016,SFSP,OPEN
HEAVEN'S WINDOWS,PROJECT ACCESS,378 SO. MEADOWBROOK DRIVE,SAN DIEGO,CA,92114,ALEX GARCIA,619-479-9594,"L, PM",6/27/2016,8/26/2016,SFSP,OPEN
HEAVEN'S WINDOWS,REFLECTIONS,8374 HERCULES STREET,LA MESA,CA,91941,DONNA MC MANUS,619-667-6891,PM,7/20/2016,8/14/2016,SFSP,CLOSED
HEAVEN'S WINDOWS,SPRING VALLEY REC CLUB,838 KEMPTON STREET,SPRING VALLEY,CA,91977,CARL MCCULLOUGH,619-667-6839,"L, S, PM",6/20/2016,8/14/2016,SFSP,OPEN
HEAVEN'S WINDOWS,UMI LEARNING CENTER,6157 UNIVERSITY AVENUE,SAN DIEGO,CA,92115,MOHAMED MOHAMED,619-309-6362,"AM, PM",6/16/2016,9/9/2016,SFSP,OPEN
HEAVEN'S WINDOWS,VICTORY OUTREACH,4235 NATIONAL AVENUE,SAN DIEGO,CA,92113,REGINA PITTMAN,619-381-8747,"AM, PM",6/22/2016,9/8/2016,SFSP,OPEN
HEAVEN'S WINDOWS,VISTA LA MESA CHRISTIAN CHURCH,4210 MASSACHUSETTS AVENUE,LA MESA,CA,91941,REBECCA LITTLEJOHN,619-460-7272,L,6/20/2016,8/14/2016,SFSP,OPEN
JAMES E. ALDREDGE FOUNDATION,MT. ERIE CHRISTIAN ACADEMY,504 S. 47TH STREET,SAN DIEGO,CA,92113,KAILYN WELLS,619-263-1914,"B, L",6/22/2016,8/26/2016,SFSP,OPEN
KAREN ORGANIZATION OF SAN DIEGO,KAREN ORGANIZATION OF SAN DIEGO,5354 UNIVERSITY AVE #1,SAN DIEGO,CA,92105,NAO KABASHIMA,619-582-0783,PM,7/19/2016,8/26/2016,SFSP,CLOSED
LA JOLLA BAND OF LUISENO,LA JOLLA BAND OF LUISENO INDIANS,22000 HWY 76,PAUMA VALLEY,CA,92061,KATRINA KEYOITE,760-750-3771 #320 #320,"L, AM",7/6/2016,8/4/2016,SFSP,CLOSED
LA MESA-SPRING VALLEY SCHOOL DISTRICT,AVONDALE ELEMENTARY,8401 STANSBURY ST.,SPRING VALLEY,CA,91977-3737,JILL WHITTENBERG,619-668-5764,"L, PM",3/21/2016,4/1/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,BANCROFT ELEMENTARY,8805 TYLER ST.,SPRING VALLEY,CA,91977-3336,JILL WHITTENBERG,619-668-5764,"L, PM",6/20/2016,8/12/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,CASA DE ORO ELEMENTARY,10227 RAMONA DR.,SPRING VALLEY,CA,91977-1720,JILL WHITTENBERG,619-668-5764,"L, PM",3/21/2016,4/1/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,HIGHLANDS ELEMENTARY,3131 SOUTH BARCELONA ST.,SPRING VALLEY,CA,91977-3003,JILL WHITTENBERG,619-668-5764,"L, PM",3/21/2016,4/1/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,KEMPTON STREET LITERACY ACADEMY,740 KEMPTON ST.,SPRING VALLEY,CA,91977-5017,JILL WHITTENBERG,619-668-5764,"L, PM",10/5/2015,10/16/2015,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,LA MESA DALE ELEMENTARY,4370 PARKS AVE.,LA MESA,CA,91941-5214,JILL WHITTENBERG,619-668-5764,"L, PM",3/21/2016,4/1/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,LA PRESA ELEMENTARY,519 LA PRESA ST.,SPRING VALLEY,CA,91977-6011,JILL WHITTENBERG,619-668-5764,"L, PM",6/20/2016,8/12/2016,SSFO,OPEN
