"Sponsor Name","Site Name","Site Address","City","State","Zip Code","Contact Name","Telephone","ProgramTypes"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","RICE (LILIAN J.) ELEMENTARY","915 FOURTH AVENUE","CHU;LA VISTA","CA",91911,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","ROGERS (GREG) ELEMENTARY","510 EAST NAPLES STREET","CHULA VISTA","CA",91911,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","ROHR (FRED H.) ELEMENTARY","1540 MALTA  AVENUE","CHULA VISTA","CA",91911,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","VALLE LINDO ELEMENTARY","1515 OLEANDER AVENUE","CHULA VISTA","CA",91911,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","VISTA SQUARE ELEMENTARY","540 G STREET","CHULA VISTA","CA",91911,"RITA PALET","619-425-9600","STATE PRE SCHOOL CENTER (SPS)"
"CHURCH OF COMPASSION DAYSPRING CHRISTIAN LRNING CTR","DAYSPRING CHRISTIAN LRN CENTER","1150 GREENFIELD DR","EL CAJON","CA",92021,"KELLY WADE","619-442-2895","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"CLAIREMONT VILLA ADHC INC","CLAIREMONT VILLA ADHC","5150 MURPHY CANYON RD  #101","SAN DIEGO","CA",92123,"IULIIA FEDYN","858-576-8575","ADULT DAY HEALTH (ADH)"
"CLAIREMONT VILLA ADHC INC","CLAIREMONT VILLA ADULT DAY HEALTH CENTER","10174 OLD GROVE RD STE 100","SAN DIEGO","CA",92131,"IULIIA FEDYN","858-576-8575","ADULT DAY HEALTH (ADH)"
"COLES COTTAGE CHILD CENTER INC","COLES COTTAGE CHILD CENTER INC.","505 CIVIV CENTER DRIVE","VISTA","CA",92084,"MS. INDA COLE","760-724-0447","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY INC","BOYS AND GIRLS CLUB HEAD START","12988 BOWRON ROAD","POWAY","CA",92064,"MS. ALICIA JONES","858-668-2985","HEAD START CENTER (HSC)"
"COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY INC","HILLSIDE VILLAGE HEAD START","12979 A. COMMUNITY RD","POWAY","CA",92064,"MS. BRITTANY WILDER","858-486-1296","HEAD START CENTER (HSC)"
"COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY INC","MIDLAND HEAD START","13910 MIDLAND ROAD","POWAY","CA",92064,"MS. CHERYL MARSHALL","858-391-0216","HEAD START CENTER (HSC)"
"COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY INC","NUEVO HEAD START","1401-C  HANSON LANE","RAMONA","CA",92065,"MS. SILVIA ROMERO","760-789-7928","HEAD START CENTER (HSC)"
"COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY INC","RAMONA HEAD START","415 8TH STREET","RAMONA","CA",92065,"MS. JENNIFER JOHNSON","760-789-2087","HEAD START CENTER (HSC)"
"DINO DAY CARE INC","DINO DAY CARE INC.","6 HIGHLAND AVENUE","NATIONAL CITY","CA",91950,"MARIA ENRIQUEZ","619-564-1456","PRESCHOOL AGE CENTER (CCC)"
"EAST SAN DIEGO ASSEMBLY OF GOD","TABLETIME","3737 WIGHTMAN","SAN DEIGO","CA",92105,"REV. BOB METS","619-281-4583","AT RISK SITE (ATR)"
"EASTER SEALS S CALIF INC","EASTER SEALS CDC-ENCINITAS","2240 ENCINITAS BLVD. SUITE H","ENCINITAS","CA",92024,"MS. ALYSSA CHAPMAN","760-635-2600","HEAD START CENTER (HSC)"
"EASTER SEALS S CALIF INC","EASTER SEALS CDC-LEUCADIA","616 N. COAST HIGHWAY 101","ENCINITAS","CA",92024,"MS. ALYSSA CHAPMAN","909-605-2709","HEAD START CENTER (HSC)"
"EASTER SEALS S CALIF INC","EASTER SEALS CDC-SOLANA BEACH","936 GENEVIEVE STREET","SOLANO BEACH","CA",92075,"MS. ALYSSA CHAPMAN","858-509-2600","HEAD START CENTER (HSC)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","DAVID AND JILLIAN GILMOUR EEC","735 AVENIDA BENITO JUAREZ","VISTA","CA",92083,"MRS. DARLENE SKIDMORE","760-639-4170","PRESCHOOL AGE CENTER (CCC)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","EES - MISSION EARLY EDUCATION CENTER","634 WEST MISSION ROAD","SAN MARCOS","CA",92069,"BARBARA SAXTON","858-569-7273","PRESCHOOL AGE CENTER (CCC)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","EES - MONTE VISTA","1720 MONTE VISTA DRIVE","VISTA","CA",92084,"SARA HERNANDEZ","760-752-1235","PRESCHOOL AGE CENTER (CCC)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","EES CHILD DEVELOPMENT CENTER","6960 LINDA VISTA RD","SAN DIEGO","CA",92111,"MRS. MARIA NARANJO","619-278-2571","PRESCHOOL AGE CENTER (CCC)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","EES JEFF AND DENI JACOBS CENTER","2360 EAST JEWETT ST","SAN DIEGO","CA",92111,"MRS. PATRICIA SMITH","619-278-2571","PRESCHOOL AGE CENTER (CCC)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","EES KNOB HILL STATE PRESCHOOL","1825 KNOB HILL RD #17","SAN MARCOS","CA",92069,"MRS. SARA HERNANDEZ","760-290-2112","STATE PRE SCHOOL CENTER (SPS)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","EES- BEAUMONT STATE PRESCHOOL","550 BEAUMONT DRIVE","VISTA","CA",92084,"MRS. SARA HERNANDEZ","760-726-8206","PRESCHOOL AGE CENTER (CCC)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","EES-ALVIN DUNN SPS/CCC","3697 LA MIRADA DR","SAN MARCOS","CA",92069,"MRS. SARA HERNANDEZ","760-290-2010","STATE PRE SCHOOL CENTER (SPS)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","EES-BOBIER PRESCHOOL","222 WEST BOBIER DRIVE","VISTA","CA",92083,"MRS. SARA HERNANDEZ","760-643-2476","STATE PRE SCHOOL CENTER (SPS)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","EES-CASITA PRESCHOOL","260 CEDAR ROAD","VISTA","CA",92084,"MRS. SARA HERNANDEZ","760-724-4432","STATE PRE SCHOOL CENTER (SPS)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","EES-JOLI ANN LEICHTAG PRESCHL","653 POINSETTIA AVE","VISTA","CA",92081,"MRS. SARA HERNANDEZ","760-643-2460","PRESCHOOL AGE CENTER (CCC)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","EES-RICHLAND SPS/CCC","910 E BORDEN RD","SAN MARCOS","CA",92069,"MRS. SARA HERNANDEZ","760-290-2413","STATE PRE SCHOOL CENTER (SPS)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","EES-VISTA ACADEMY PRESCHOOL","600 NORTH SANTA FE AVENUE","VISTA","CA",92083,"MRS. SARA HERNANDEZ","760-941-1106","STATE PRE SCHOOL CENTER (SPS)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","ESS TEMPLE HEIGHTS STATE PRESC","1550 TEMPLE HEIGHTS DRIVE","OCEANSIDE","CA",92056,"MRS. SARA HERNANDEZ","760-631-6242","STATE PRE SCHOOL CENTER (SPS)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","FOOT HILL OAKS PRESCHOOL","1370 OAK DRIVE","VISTA","CA",92084,"MRS. SARA HERNANDEZ","760-631-3458","STATE PRE SCHOOL CENTER (SPS)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","GRAPEVINE PRESCHOOL","630 GRAPEVINE ROAD","VISTA","CA",92083,"MRS. SARA HERNANDEZ","760-724-8329","STATE PRE SCHOOL CENTER (SPS)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","HANNALEI PRESCHOOL","120 HANNALEI DRIVE","VISTA","CA",92083,"MRS. SARA HERNANDEZ","760-631-6248","STATE PRE SCHOOL CENTER (SPS)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","MARYLAND STATE PRESCHOOL","700 NORTH AVENUE","VISTA","CA",92083,"MRS. SARA HERNANDEZ","760-631-6675","STATE PRE SCHOOL CENTER (SPS)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","MISSION MEADOWS PRESCHOOL","5657 SPUR AVENUE","OCEANSIDE","CA",92057,"MRS. SARA HERNANDEZ","760-630-7884","PRESCHOOL AGE CENTER (CCC)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","PARK VILLAGE CHILD CARE CENTER","1256 THIRD AVENUE  #29","CHULA VISTA","CA",91910,"MRS. GLORIA GARCIA","619-422-4642","PRESCHOOL AGE CENTER (CCC)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","SAN MARCOS STATE PRESCHOOL","1 TIGER WAY","SAN MARCOS","CA",92069,"MRS. SARA HERNANDEZ","760-290-2980","PRESCHOOL AGE CENTER (CCC)"
"EDUCATIONAL ENRICHMENT SYSTEMS INC","VISTA CHILD DEVELOPMENT CNTR","410 WEST CALIFORNIA AVE","VISTA","CA",92083,"MRS. MARY SMITH","619-726-2530","PRESCHOOL AGE CENTER (CCC)"
"EJE ACADEMIES","EJE ELEMENTARY ACADEMY-ANNEX","851 S. JOHNSON AVE","EL CAJON","CA",92020,"MRS. EVA PACHECO","619-401-4150","AT RISK SITE (ATR)"
"EL CAJON WESLEYAN CHURCH","EL CAJON WESLEYAN PRESCHOOL","1500 E LEXINGTON AVE","EL CAJON","CA",92019,"CHRISTINE HUGHES","619-441-2803","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"EPISCOPAL COMMUNITY SERVICES","ECS 4TH AND D HEAD START","385 D STREET","CHULA VISTA","CA",91910,"LUCILA AGUIRRE","619-591-9136","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS BOYS & GIRLS CLUB","1430 D AVENUE","NATIONAL CITY","CA",91950,"MELISSA RUGAMA","619-292-2550","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS CASTLE PARK HEADSTART","1375 THIRD AVENUE","CHULA VISTA","CA",91911,"ROSETTA RODRIGUEZ","619-409-4200","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS ETA HEAD START","817 ETA STREET","NATIONAL CITY","CA",91950,"ANGELA JOHNSON","619-955-5147","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS HAMMOND CDC HEAD START","455 PALM AVE","IMPERIAL BEACH","CA",91932,"FRANCES KELLEY","619-575-4448","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS HARBISON HEAD START","1540 SOUTH HARBISON AVE","NATIONAL CITY","CA",91950,"JAMIE CABRERA","619-475-1765","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS HIGHLAND HEAD START","2605 HIGHLAND AVE","NATIONAL CITY","CA",91950,"GEORGINA JABBARI","619-477-8083","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS MONTGOMERY HEAD START","3240 PALM AVE","SAN DIEGO","CA",92154,"MELISSA RUGAMA","619-424-4027","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS NESTOR HEAD START","2399 GROVE AVE","SAN DIEGO","CA",92154,"JULIE MARSDEN","619-423-4986","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS OXFORD HEAD START","267 E. OXFORD STREET","CHULA VISTA","CA",91911,"JOAN BORGONIA","619-796-7196","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS PALOMAR HEAD START","1320 4TH AVENUE","CHULA VISTA","CA",91941,"ELIZABETH GUTIERREZ","619-427-6092","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS PLAZA HEAD START","1805 EAST 17TH ST","NATIONAL CITY","CA",91950,"WENDY SANTACRUZAN","619-474-3477","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS SAN YSIDRO HEADSTART","249 WILLOW RD","SAN YSIDRO","CA",92173,"MARIE ALZINA","619-428-6614","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","ECS ZAMORANO HEAD START","7375 TOOMA STREET","SAN DIEGO","CA",92139,"DENISE TREJO","619-434-5780","HEAD START CENTER (HSC)"
"EPISCOPAL COMMUNITY SERVICES","VICTORIA CENTER","1665 PRECISION PARK LANE #A-C","SAN YSIDRO","CA",92173,"MS. FRANCES KELLEY","619-964-7644","INFANT/TODDLER (ITC)"
