site_id,start_date,end_date,summer_year,sitename,sponsorname,sponsor_id,meals_type,site_contact,site_phone,site_type
5165,2018-06-06,2018-07-20,2018,PACIFIC VILLAGE,BOYS & GIRLS CLUBS OF AMERICA,10,"S, PM",DAVID SANCHEZ,619-934-8129,CLOSED
5157,2018-06-05,2018-07-20,2018,CHULA VISTA SITE,BOYS & GIRLS CLUBS OF AMERICA,10,"B, S",STEPHANIE ORTEGA,619-421-4011,CLOSED
38,2018-06-05,2018-07-20,2018,BGCSC- CHULA VISTA BRANCH,BOYS & GIRLS CLUBS OF AMERICA,10,"B, S",STEPHANIE ORTEGA,619-421-4011 #321,CLOSED
493,2018-06-15,2018-08-28,2018,CARLSBAD VILLAGE ACADEMY,BOYS & GIRLS CLUBS OF AMERICA,10,"B, L",NICK MINNIX,760-283-7947,CLOSED
4317,2018-06-18,2018-07-27,2018,EL CAJON PUBLIC LIBRARY,CAJON VALLEY UNION,80,"L, PM",MARK MENDOZA,619-588-3111,OPEN
4321,2018-06-18,2018-07-27,2018,JF KENNEDY PARK,CAJON VALLEY UNION,80,L,MARK MENDOZA,619-588-3111,OPEN
4325,2018-06-18,2018-07-27,2018,RENETTE PARK COMMUNITY CENTER,CAJON VALLEY UNION,80,L,MARK MENDOZA,619-588-3111,OPEN
2565,2018-06-18,2018-07-27,2018,NARANCA ELEMENTARY,CAJON VALLEY UNION,80,L,MARK MENDOZA,619-588-3111,OPEN
609,2018-06-18,2018-07-27,2018,CHASE AVENUE ELEMENTARY,CAJON VALLEY UNION,80,"B, L",MARK MENDOZA,619-588-3111,OPEN
1365,2018-06-18,2018-07-27,2018,GREENFIELD MIDDLE,CAJON VALLEY UNION,80,L,MARK MENDOZA,619-588-3111,OPEN
1761,2018-06-18,2018-07-27,2018,JOHNSON ELEMENTARY,CAJON VALLEY UNION,80,L,MARK MENDOZA,619-588-3111,OPEN
2093,2018-06-18,2018-07-27,2018,LEXINGTON ELEMENTARY,CAJON VALLEY UNION,80,L,MARK MENDOZA,619-588-3111,OPEN
3049,2018-06-11,2018-06-29,2018,PALOMAR ELEMENTARY,CHULA VISTA ELEMENTARY,104,"B, L",JEFFREY LANDERS,619-425-9600 #1401,OPEN
4341,2018-06-05,2018-06-29,2018,CITY OF CHULA VISTA CIVIC CENTER LIBRARY,CHULA VISTA ELEMENTARY,104,"L, PM",JEFFREY LANDERS,619-425-9600 #1401,OPEN
4345,2018-06-05,2018-06-29,2018,CITY OF CHULA VISTA SOUTH CV LIBRARY,CHULA VISTA ELEMENTARY,104,"L, PM",JEFFREY LANDERS,619-425-9600 #1401,OPEN
1565,2018-06-11,2018-06-29,2018,HILLTOP DRIVE ELEMENTARY,CHULA VISTA ELEMENTARY,104,"B, L",JEFFREY LANDERS,619-425-9600 #1401,OPEN
4349,2018-07-08,2018-08-10,2018,BEST SUMMER BRIDGE 2010,CSU SAN DIEGO (BEST),124,"B, L, S",DAVID SCARAFONE,619-594-1196 #41196,CAMP
4361,2018-06-11,2018-07-12,2018,SPECIAL EDUCATION TRANSITION CLASS,ESCONDIDO UNION HIGH,160,"B, L",EVELYN ZARZOSA,760-291-3239,OPEN
4365,2018-06-11,2018-08-08,2018,WASHINGTON PARK CENTER,ESCONDIDO UNION HIGH,160,"B, L",EVELYN ZARZOSA,760-291-3239,OPEN
4353,2018-06-19,2018-07-26,2018,GROVE PARK,ESCONDIDO UNION HIGH,160,L,EVELYN ZARZOSA,760-291-3239,OPEN
877,2018-06-04,2018-06-28,2018,DEL LAGO ACADEMY - CAMPUS OF APPLIED SCIENCE,ESCONDIDO UNION HIGH,160,L,EVELYN ZARZOSA,760-291-3239,OPEN
1145,2018-06-11,2018-07-12,2018,ESCONDIDO HIGH,ESCONDIDO UNION HIGH,160,L,EVELYN ZARZOSA,760-291-3239,OPEN
2957,2018-06-11,2018-07-12,2018,ORANGE GLEN HIGH,ESCONDIDO UNION HIGH,160,L,EVELYN ZARZOSA,760-291-3239,OPEN
3521,2018-06-11,2018-07-12,2018,SAN PASQUAL HIGH,ESCONDIDO UNION HIGH,160,"B, L",EVELYN ZARZOSA,760-291-3239,OPEN
4065,2018-06-11,2018-07-12,2018,VALLEY HIGH (CONTINUATION),ESCONDIDO UNION HIGH,160,L,EVELYN ZARZOSA,760-291-3239,OPEN
1193,2018-07-02,2018-07-20,2018,FARR AVENUE ELEMENTARY,ESCONDIDO UNION,156,"B, L",CHRISTINE CUNNINGHAM,760-708-6300,OPEN
1817,2018-06-18,2018-07-19,2018,JUNIPER ELEMENTARY,ESCONDIDO UNION,156,"B, L",CHRISTINE CUNNINGHAM,760-708-6300,OPEN
2121,2018-06-18,2018-07-20,2018,LINCOLN ELEMENTARY,ESCONDIDO UNION,156,"B, L",CHRISTINE CUNNINGHAM,760-708-6300,OPEN
3305,2018-06-18,2018-07-13,2018,ROCK SPRINGS ELEMENTARY,ESCONDIDO UNION,156,L,CHRISTINE CUNNINGHAM,760-708-6300,OPEN
1185,2018-06-07,2018-07-06,2018,FALLBROOK STREET ELEMENTARY,FALLBROOK UNION ELEMENTARY,168,"L, AM",SANDRA MCGOLDRICK,760-731-4352,OPEN
2001,2018-06-18,2018-07-12,2018,LA PALOMA ELEMENTARY,FALLBROOK UNION ELEMENTARY,168,L,SANDRA MCGOLDRICK,760-535-9730,OPEN
4377,2018-06-11,2018-07-27,2018,NORTH COUNTY BOYS AND GIRLS CLUB,FALLBROOK UNION ELEMENTARY,168,L,SANDRA MCGOLDRICK,760-731-4352,OPEN
4033,2018-06-11,2018-06-30,2018,VALLECITOS ELEMENTARY,FALLBROOK UNION HIGH,172,L,JUDI REYNOLDS,703-731-1601,OPEN
1173,2018-06-11,2018-07-20,2018,FALLBROOK HIGH,FALLBROOK UNION HIGH,172,"B, L",JUDI REYNOLDS,760-731-1601,OPEN
1685,2018-06-11,2018-06-30,2018,IVY HIGH (CONTINUATION),FALLBROOK UNION HIGH,172,"B, L",JUDI REYNOLDS,760-723-6332,OPEN
4493,2018-06-11,2018-08-03,2018,VISTA BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,L,JENNIFER RUNGE,760-643-5113,OPEN
4421,2018-06-12,2018-07-20,2018,LINCOLN ACRES BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,L,JOSE OCADIZ,619-475-9880,OPEN
4385,2018-06-19,2018-08-24,2018,BORREGO SPRINGS BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,L,TONYA GADBOIS,760-767-5663,OPEN
4409,2018-06-12,2018-08-03,2018,JULIAN BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,L,COLLEEN BAKER,760-765-1055,OPEN
4481,2018-06-18,2018-07-20,2018,VALLEY CENTER BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,L,LORETTA DEAVER,760-749-1305,OPEN
4405,2018-06-18,2018-08-18,2018,JACUMBA BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,"L, PM",SARAH MISQUEZ,619-766-4608,OPEN
4457,2018-06-11,2018-08-17,2018,RAMONA BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,L,CHELSIE HARRIS,760-788-5271,OPEN
4389,2018-06-15,2018-08-20,2018,BOYS AND GIRLS CLUB SAN MARCOS,FEEDING AMERICA SAN DIEGO,180,"L, PM",FRANCISCO MADRIZ,760-471-2490,OPEN
4425,2018-06-11,2018-08-10,2018,MESA GRANDE INDIAN HOUSING AUTHORITY,FEEDING AMERICA SAN DIEGO,180,L,DANIELLE LACHUSA,760-782-9144,OPEN
4441,2018-06-18,2018-08-10,2018,NORTH COUNTY HEALTH SERVICES SAN MARCOS,FEEDING AMERICA SAN DIEGO,180,L,CHERYL MCMAHEN,760-736-8613,CLOSED
4401,2018-07-02,2018-08-06,2018,IIPAY NATION OF SANTA YSABEL,FEEDING AMERICA SAN DIEGO,180,L,VIRGIL PEREZ,760-803-3825,OPEN
4485,2018-06-11,2018-08-17,2018,VCC PROJECT REACH LIBBY LAKE,FEEDING AMERICA SAN DIEGO,180,L,SALVADOR ROMAN,760-631-5000,OPEN
4413,2018-06-12,2018-07-13,2018,JULIAN ELEMENTARY,FEEDING AMERICA SAN DIEGO,180,B,DANA HAYDEN,760-765-2228,OPEN
4445,2018-07-26,2018-08-09,2018,OCEAN DISCOVERY HOOVER HIGH,FEEDING AMERICA SAN DIEGO,180,"L, AM",CHRISTINA CONTRERAS,858-488-3849,OPEN
4453,2018-07-23,2018-08-14,2018,PALOMAR FAMILY YMCA,FEEDING AMERICA SAN DIEGO,180,"B, L",SAUL MENDOZA,760-745-7490 #13120,OPEN
4433,2018-06-19,2018-08-09,2018,MISSION COVE APARTMENTS,FEEDING AMERICA SAN DIEGO,180,L,CHERYL MCMAHEN,760-736-8613,OPEN
4393,2018-06-07,2018-07-20,2018,CASA DE SALUD YOUTH CENTER,FEEDING AMERICA SAN DIEGO,180,"L, PM",ELYANA DELGADO,619-336-4290,OPEN
3765,2018-06-11,2018-06-29,2018,STEELE CANYON HIGH,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
2153,2018-06-26,2018-08-03,2018,LITERACY FIRST CHARTER,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
4501,2018-06-15,2018-08-21,2018,BOYS AND GIRLS CLUB OF EAST COUNTY,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,CLOSED
4513,2018-06-21,2018-08-21,2018,LAKESIDE CLUBHOUSE,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
601,2018-06-11,2018-07-27,2018,CHAPARRAL HIGH,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
1053,2018-06-11,2018-08-10,2018,EL CAJON VALLEY HIGH,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
1065,2018-06-11,2018-07-13,2018,EL CAPITAN HIGH,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
1341,2018-06-11,2018-06-29,2018,GRANITE HILLS HIGH,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
1373,2018-06-11,2018-06-29,2018,GROSSMONT HIGH,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
1465,2018-06-11,2018-06-29,2018,HELIX HIGH,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
2453,2018-06-11,2018-07-20,2018,MONTE VISTA HIGH,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
2509,2018-06-11,2018-06-29,2018,MOUNT MIGUEL HIGH,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
3553,2018-06-11,2018-06-29,2018,SANTANA HIGH,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
4017,2018-06-11,2018-06-29,2018,VALHALLA HIGH,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
4505,2018-06-18,2018-08-21,2018,BOYS AND GIRLS CLUB SANTEE,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
4537,2018-06-18,2018-08-10,2018,YMCA - LA MESA,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
4545,2018-06-18,2018-08-10,2018,YMCA - SANTEE,GROSSMONT UNION HIGH,188,B,VINCE SCIMONE,619-644-8183,OPEN
4525,2018-06-13,2018-08-03,2018,SANTEE RECREATION CENTER,GROSSMONT UNION HIGH,188,"L, PM",VINCE SCIMONE,619-644-8183,OPEN
4533,2018-06-18,2018-08-03,2018,WOODGLEN VISTA APARTMENTS,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
3249,2018-06-11,2018-07-25,2018,REACH ACADEMY,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
4541,2018-06-18,2018-08-10,2018,YMCA - MCGRATH,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
4509,2018-06-18,2018-08-03,2018,HILTON HEAD COUNTY PARK,GROSSMONT UNION HIGH,188,L,VINCE SCIMONE,619-644-8183,OPEN
4517,2018-06-18,2018-08-21,2018,LEMON GROVE REC CENTER,GROSSMONT UNION HIGH,188,"B, L",VINCE SCIMONE,619-644-8183,OPEN
5169,2018-06-24,2018-07-27,2018,64 DEGREES,HARVEY MUDD COLLEGE UPWARD BOUND,11,"B, L, S",LAURA GARCIA,909-621-8123,CAMP
4653,2018-06-18,2018-08-10,2018,METRO AREA ADVISORY COMMITTEE (DIFFERENCT FROM HONEY BEE),HEAVEN'S WINDOWS,204,L,ANGELA KRETSCHMAR,619-303-7806,OPEN
4689,2018-06-18,2018-08-10,2018,SPRING VALLEY REC CLUB,HEAVEN'S WINDOWS,204,"S, PM",CARL MCCULLOUGH,619-667-6839,OPEN
4573,2018-06-18,2018-08-10,2018,CASA DE ORO LIBRARY,HEAVEN'S WINDOWS,204,L,ALLYSON O'BRIEN,619-463-8277,OPEN
4613,2018-06-18,2018-07-26,2018,EAST COUNTY COMMUNITY CENTER SPRING VALLEY,HEAVEN'S WINDOWS,204,L,FREDDY HORTON,619-463-0725,OPEN
4681,2018-06-06,2018-08-14,2018,REFLECTIONS,HEAVEN'S WINDOWS,204,PM,DONNA MC MANUS,619-667-6891,CLOSED
4585,2018-06-04,2018-07-19,2018,CHULA VISTA PRESBYTERIAN PRESCHOOL,HEAVEN'S WINDOWS,204,"L, AM",ALEXIS INGRAM,619-492-2292,CLOSED
4701,2018-06-13,2018-08-28,2018,VICTORY OUTREACH,HEAVEN'S WINDOWS,204,"AM, PM",REGINA PITTMAN,619-381-8747,OPEN
4565,2018-06-13,2018-08-21,2018,CAMPO EDUCATIONAL CENTER,HEAVEN'S WINDOWS,204,"L, PM",DEBORA CUERO,619-478-9093,OPEN
4677,2018-06-13,2018-08-28,2018,PROJECT ACCESS,HEAVEN'S WINDOWS,204,"L, PM",ALEX GARCIA,619-479-9594,OPEN
4661,2018-06-13,2018-06-29,2018,MT. ERIE BAPTIST CHURCH,HEAVEN'S WINDOWS,204,B,JAMES ROWELL,619-262-0708,OPEN
4657,2018-06-13,2018-08-28,2018,METRO VILLAS APARTMENTS,HEAVEN'S WINDOWS,204,"L, PM",LETICIA LEAL,619-961-1062,OPEN
4605,2018-06-04,2018-07-19,2018,COMMUNITY CONGREGATIONAL PRESCHOOL,HEAVEN'S WINDOWS,204,"AM, PM",KIM APPLEGET,619-420-2046,CLOSED
4705,2018-06-29,2018-07-23,2018,VILLAGE VIEW APARTMENTS,HEAVEN'S WINDOWS,204,PM,JENNY TRANG,619-677-2015,OPEN
4621,2018-06-29,2018-07-23,2018,HOLLYWOOD PALMS APARTMENTS,HEAVEN'S WINDOWS,204,PM,TRICIA MCKENZIE,619-255-0649,OPEN
4693,2018-06-04,2018-07-19,2018,SYHC-WIC CHULA VISTA,HEAVEN'S WINDOWS,204,L,CARMEN GONG,619-662-4100,OPEN
4649,2018-06-13,2018-08-28,2018,MEMORIAL RECREATION CENTER,HEAVEN'S WINDOWS,204,"S, PM",MARK ROSPLOCK,619-235-1125,OPEN
4725,2018-06-20,2018-07-19,2018,YMCA LEADERSHIP ACADEMY,HEAVEN'S WINDOWS,204,"L, PM",PAYTON SCHOONMAKER,619-421-9622,OPEN
5193,2018-06-14,2018-06-27,2018,TORREY LEARNING CENTER,HEAVEN'S WINDOWS,204,"L, PM",LINDA BEAGLE,619-341-8077,OPEN
4553,2018-06-13,2018-08-28,2018,ATMOSPHERE APARTMENTS,HEAVEN'S WINDOWS,204,"L, PM",MARIA GARCIA,619-404-7368,OPEN
4557,2018-06-04,2018-07-19,2018,BORDER VIEW YMCA,HEAVEN'S WINDOWS,204,"L, AM",PAYTON SCHOONMAKER,619-421-9622,OPEN
4717,2018-06-06,2018-07-27,2018,WIC NATIONAL CITY,HEAVEN'S WINDOWS,204,L,MARIE TOJOS,619-565-8930,OPEN
5181,2018-06-04,2018-07-19,2018,HALECREST YMCA,HEAVEN'S WINDOWS,204,"L, AM",PAYTON SCHOONMAKER,619-421-9622,OPEN
4581,2018-06-18,2018-08-28,2018,CHOLLAS VIEW UNITED METHODIST CHURCH,HEAVEN'S WINDOWS,204,"L, PM",ROSEY IHEME,858-663-0471,OPENRES
4721,2018-06-04,2018-07-19,2018,YMCA EARLY ENRICHMENT CENTER,HEAVEN'S WINDOWS,204,"L, PM",MELISSA SACALAMITAO,619-427-7414,CLOSED
4633,2018-06-20,2018-08-28,2018,LAKESIDE TEEN CENTER,HEAVEN'S WINDOWS,204,PM,BEN MYERS,619-443-4169,OPEN
4713,2018-06-20,2018-08-17,2018,VISTA TERRACE HILLS,HEAVEN'S WINDOWS,204,L,DEJUAN GARIBALDI,619-428-3141,OPEN
4609,2018-06-05,2018-09-30,2018,CORONADO TERRACE APARTMENTS,HEAVEN'S WINDOWS,204,"L, PM",ARDELINA MARTINEZ,619-423-7855,OPEN
4601,2018-06-13,2018-08-28,2018,COLLEGE-ROLANDO BRANCH LIBRARY,HEAVEN'S WINDOWS,204,S,LEO DE LA CRUZ,619-533-0902,OPEN
4637,2018-06-13,2018-08-28,2018,LINDA VISTA BRANCH LIBRARY,HEAVEN'S WINDOWS,204,S,JEFFREY DAVIS,619-573-1399,OPEN
4697,2018-06-13,2018-08-28,2018,VALENCIA PARK/MALCOLM X BRANCH LIBRARY,HEAVEN'S WINDOWS,204,S,UYEN TRAN,619-527-3405,OPEN
4593,2018-06-13,2018-08-28,2018,CITY HEIGHTS BRANCH LIBRARY,HEAVEN'S WINDOWS,204,S,JENNIFER GERAN,619-641-6100,OPEN
4577,2018-06-13,2018-08-28,2018,CENTRAL BRANCH LIBRARY,HEAVEN'S WINDOWS,204,S,LAURA ANTHONY,619-238-6674,OPEN
4641,2018-06-13,2018-08-28,2018,LOGAN HEIGHTS BRANCH LIBRARY,HEAVEN'S WINDOWS,204,S,OSVALDO VALENZUELA,619-533-3969,OPEN
4645,2018-06-21,2018-08-30,2018,MAPLEWOOD APARTMENTS,HEAVEN'S WINDOWS,204,"L, PM",JAMILLAH JACKSON,619-804-0188,OPEN
5189,2018-06-20,2018-06-27,2018,OTAY-NESTOR BRANCH LIBRARY,HEAVEN'S WINDOWS,204,S,COCO RIOS,619-424-0474,OPEN
5201,2018-06-14,2018-08-24,2018,MT. ERIE CHRISTIAN ACADEMY,JAMES E. ALDREDGE FOUNDATION,,"B, L",KAILYN WELLS,619-263-1914,OPEN
4733,2018-07-09,2018-08-09,2018,LA JOLLA BAND OF LUISENO INDIANS,LA JOLLA BAND OF LUISENO,236,"L, AM",KRIS SALMON,760-750-3771 #302,CLOSED
4741,2018-06-18,2018-08-03,2018,SPRING VALLEY COMMUNITY CENTER,LA MESA-SPRING VALLEY,240,"B, L",JILL WHITTENBERG,619-668-5764,OPEN
4745,2018-06-18,2018-08-03,2018,SPRING VALLEY LIBRARY,LA MESA-SPRING VALLEY,240,L,JILL WHITTENBERG,619-668-5764,OPEN
169,2017-10-09,2017-10-20,2018,AVONDALE ELEMENTARY,LA MESA-SPRING VALLEY,240,"L, PM",JILL WHITTENBERG,619-668-5764,OPEN
193,2018-03-26,2018-04-06,2018,BANCROFT ELEMENTARY,LA MESA-SPRING VALLEY,240,"L, PM",JILL WHITTENBERG,619-668-5764,OPEN
529,2018-06-18,2018-08-03,2018,CASA DE ORO ELEMENTARY,LA MESA-SPRING VALLEY,240,"L, PM",JILL WHITTENBERG,619-668-5764,OPEN
1549,2018-03-26,2018-04-06,2018,HIGHLANDS ELEMENTARY,LA MESA-SPRING VALLEY,240,"L, PM",JILL WHITTENBERG,619-668-5764,OPEN
1977,2018-03-26,2018-04-06,2018,LA MESA DALE ELEMENTARY,LA MESA-SPRING VALLEY,240,"L, PM",JILL WHITTENBERG,619-668-5764,OPEN
2005,2018-06-18,2018-08-03,2018,LA PRESA ELEMENTARY,LA MESA-SPRING VALLEY,240,"L, PM",JILL WHITTENBERG,619-668-5764,OPEN
2069,2017-10-09,2017-10-20,2018,LEMON AVENUE ELEMENTARY,LA MESA-SPRING VALLEY,240,"L, PM",JILL WHITTENBERG,619-668-5764,OPEN
2185,2017-10-09,2017-10-20,2018,LOMA ELEMENTARY,LA MESA-SPRING VALLEY,240,"L, PM",JILL WHITTENBERG,619-668-5764,OPEN
2313,2018-06-25,2018-07-20,2018,MARYLAND AVENUE ELEMENTARY,LA MESA-SPRING VALLEY,240,L,JILL WHITTENBERG,619-668-5764,OPEN
2553,2018-03-26,2018-04-06,2018,MURDOCK ELEMENTARY,LA MESA-SPRING VALLEY,240,"L, PM",JILL WHITTENBERG,619-668-5764,OPEN
3237,2018-06-25,2018-07-20,2018,RANCHO ELEMENTARY,LA MESA-SPRING VALLEY,240,L,JILL WHITTENBERG,619-668-5764,OPEN
3321,2018-06-18,2018-08-03,2018,ROLANDO ELEMENTARY,LA MESA-SPRING VALLEY,240,"L, PM",JILL WHITTENBERG,619-668-5764,OPEN
3717,2018-06-18,2018-08-03,2018,SPRING VALLEY ACADEMY,LA MESA-SPRING VALLEY,240,"L, PM",JILL WHITTENBERG,619-668-5764,OPEN
3833,2018-06-18,2018-08-03,2018,SWEETWATER SPRINGS ELEMENTARY,LA MESA-SPRING VALLEY,240,"L, PM",JILL WHITTENBERG,619-668-5764,OPEN
2025,2018-06-21,2018-08-22,2018,LAKESIDE MIDDLE,LAKESIDE UNION ELEMENTARY,244,"B, L",SALLY SPERO,619-390-2600 #2550,OPEN
2073,2018-06-25,2018-07-26,2018,LEMON CREST ELEMENTARY,LAKESIDE UNION ELEMENTARY,244,"B, L",SALLY SPERO,619-390-2600 #2550,OPEN
3389,2018-06-25,2018-07-20,2018,SAN ALTOS ELEMENTARY,LEMON GROVE,248,L,HOLLY BAUER,619-825-5693,OPEN
4129,2018-06-25,2018-06-29,2018,VISTA LA MESA ACADEMY,LEMON GROVE,248,L,HOLLY BAUER,619-825-5693,OPEN
461,2018-06-18,2018-07-26,2018,CAMPO ELEMENTARY,MOUNTAIN EMPIRE UNIFIED,256,L,DOROTHY HASKINS,619-473-9022 #1125,OPEN
3037,2018-06-11,2018-06-29,2018,PALMER WAY,NATIONAL ELEMENTARY,260,L,JON HANSEN,619-336-7735,CLOSED
4801,2018-06-11,2018-08-08,2018,BOYS/GIRLS CLUB COUNTRY CLUB LANE,OCEANSIDE UNIFIED,284,"L, PM",NAOMI SHADWELL,760-966-4045,OPEN
4809,2018-06-11,2018-08-16,2018,CROWN HEIGHTS RESOURCE CENTER,OCEANSIDE UNIFIED,284,"B, L",NAOMI SHADWELL,760-966-4045,OPEN
4817,2018-06-11,2018-08-16,2018,LIBBY LAKE PARK,OCEANSIDE UNIFIED,284,"B, L",NAOMI SHADWELL,760-966-4045,OPEN
4825,2018-07-11,2018-08-10,2018,MELBA BISHOP RECREATION CENTER,OCEANSIDE UNIFIED,284,"B, L",NAOMI SHADWELL,760-966-4045,OPEN
2221,2018-06-11,2018-07-03,2018,LOUISE FOUSSAT ELEMENTARY,OCEANSIDE UNIFIED,284,"B, L",NAOMI SHADWELL,760-966-4000 #4045,OPEN
4793,2018-06-11,2018-08-16,2018,BALDERRAMA PARK,OCEANSIDE UNIFIED,284,"B, L",NAOMI SHADWELL,760-966-4045,OPEN
4785,2018-06-11,2018-08-10,2018,ABBY REINKE YOUTH CENTER,OCEANSIDE UNIFIED,284,"B, L",NAOMI SHADWELL,760-966-4045,OPEN
4813,2018-06-11,2018-08-16,2018,FIRESIDE PARK,OCEANSIDE UNIFIED,284,L,NAOMI SHADWELL,760-966-4045,OPEN
4805,2018-06-11,2018-08-16,2018,CITY OF OCEANSIDE LIBRARY,OCEANSIDE UNIFIED,284,"L, PM",NAOMI SHADWELL,760-966-4045,OPEN
893,2018-06-12,2018-07-10,2018,DEL RIO ELEMENTARY,OCEANSIDE UNIFIED,284,"B, L",NAOMI SHADWELL,760-966-4000 #4045,OPEN
1061,2018-06-25,2018-08-15,2018,EL CAMINO HIGH,OCEANSIDE UNIFIED,284,L,NAOMI SHADWELL,760-966-4045,OPEN
2097,2018-06-11,2018-08-03,2018,LIBBY ELEMENTARY,OCEANSIDE UNIFIED,284,"B, L",NAOMI SHADWELL,760-966-4045,OPEN
2413,2018-06-18,2018-07-12,2018,MISSION ELEMENTARY,OCEANSIDE UNIFIED,284,"B, L",NAOMI SHADWELL,760-966-4000 #4045,OPEN
2913,2018-06-11,2018-08-10,2018,OCEANSIDE HIGH,OCEANSIDE UNIFIED,284,"B, L",NAOMI SHADWELL,760-966-4045,OPEN
3041,2018-06-11,2018-08-16,2018,PALMQUIST ELEMENTARY,OCEANSIDE UNIFIED,284,"L, PM",NAOMI SHADWELL,760-966-4045,OPEN
677,2018-06-11,2018-06-29,2018,CLAIR W. BURGENER ACADEMY,OCEANSIDE UNIFIED,284,"B, L",NAOMI SHADWELL,760-966-4045,OPEN
3213,2018-06-11,2018-07-13,2018,RAMONA ELEMENTARY,RAMONA CITY UNIFIED,304,L,KATI HARBOUR,760-787-2048,OPEN
